Team,Pts,Shots,Touches,Tackles,Interceptions,Red Cards,Booking Points,Number of Injuries,Days Lost to Injury,UCL Particp,Relegated
Norwich City1314,33,467,22570,675,529,2,670,20,978,0,1
Southampton1314,56,534,28030,805,528,0,600,23,708,0,0
Stoke City1314,50,428,23324,791,474,5,845,15,555,0,0
Sunderland1314,38,491,21922,702,414,7,855,18,735,0,0
Swansea City1314,42,496,29158,674,644,3,625,30,922,0,0
Tottenham Hotspur1314,69,588,26241,750,560,4,760,45,1441,0,0
West Bromwich Albion1314,36,487,22866,701,595,0,670,35,1161,0,0
West Ham United1314,40,422,20511,651,404,5,735,27,1094,0,0
Arsenal1415,75,610,29045,739,762,2,730,35,1466,1,0
Aston Villa1415,38,418,23785,623,487,7,875,29,1148,0,0
Burnley1415,33,430,21624,615,568,2,690,16,871,0,1
Chelsea1415,87,564,27861,759,376,4,870,19,428,1,0
Crystal Palace1415,48,441,20386,791,600,4,730,19,856,0,0
Everton1415,47,483,26729,657,444,2,710,37,1423,0,0
Hull City1415,35,428,22464,763,607,6,860,26,1145,0,1
Leicester City1415,41,456,21547,791,750,4,590,22,540,0,0
Liverpool1415,62,590,27353,798,442,3,735,28,1095,1,0
Manchester City1415,79,670,29652,751,569,2,820,24,630,1,0
Manchester United1415,70,512,29044,739,679,5,765,39,1348,0,0
Newcastle United1415,39,468,23375,824,639,7,835,37,1871,0,0
Queens Park Rangers1415,30,534,21907,781,561,3,825,31,1283,0,1
Southampton1415,60,509,25815,813,619,3,645,22,782,0,0
Stoke City1415,54,500,23427,729,496,1,845,27,1109,0,0
Sunderland1415,38,408,22037,759,578,2,990,20,863,0,0
Swansea City1415,56,426,25645,634,693,5,605,22,671,0,0
Tottenham Hotspur1415,64,527,27495,815,674,4,890,19,475,0,0
West Bromwich Albion1415,44,412,21820,696,585,3,715,19,640,0,0
West Ham United1415,47,488,21793,647,505,2,690,31,924,0,0
AFC Bournemouth1516,42,464,25291,709,640,1,545,40,1465,0,0
Arsenal1516,71,571,29337,731,734,4,490,43,1137,1,0
Aston Villa1516,17,380,23234,709,768,3,825,50,1336,0,1
Chelsea1516,50,526,27362,790,518,6,730,56,995,1,0
Crystal Palace1516,42,469,21861,649,698,1,625,56,1083,0,0
Everton1516,47,491,25741,730,511,5,565,57,1219,0,0
Leicester City1516,81,522,21710,869,819,3,555,19,275,0,0
Liverpool1516,60,629,27890,871,549,3,685,68,1862,0,0
Manchester City1516,66,614,28396,729,630,0,610,79,1494,1,0
Manchester United1516,66,430,27542,760,594,1,675,69,1712,1,0
Newcastle United1516,37,397,22990,793,646,5,705,61,2230,0,1
Norwich City1516,34,418,21936,608,473,3,685,35,723,0,1
Southampton1516,63,519,23716,714,709,6,720,38,735,0,0
Stoke City1516,51,419,23663,710,576,4,610,73,1505,0,0
Sunderland1516,39,439,20339,767,571,2,670,62,1033,0,0
Swansea City1516,47,441,25989,638,679,1,645,28,403,0,0
Tottenham Hotspur1516,70,659,27014,805,645,0,720,45,1073,0,0
Watford1516,45,446,22363,794,764,3,815,28,451,0,0
West Bromwich Albion1516,43,388,19822,642,721,3,705,40,692,0,0
West Ham United1516,62,558,23104,711,668,5,685,49,1166,0,0
